feature,population_mean,population_std
F1_emi_to_income,1.9572,1.0235600997701522
F2_savings_drawdown,0.0,0.27581119006543525
F3_income_irregularity,1.632455532033676,1.082443156304955
F4_spend_shift,0.0707,0.0462354195784268
F5_autodebit_failures,0.0,0.11770731391650467
F6_lending_app_count,0.0,0.16869032403163306
F7_cash_hoarding,0.10808699976764473,0.037176626339020566
F8_stress_velocity,8.9468,79.13360543315476
F9_payment_timing_entropy,56.13792538620096,0.8354147273469071
F10_cohort_stress,0.0,0.28010759373841415
F11_overdraft_freq,0.0,16.306334117726006
F12_cross_loan_consistency,9.114372978579,12.436501034706877
F13_secondary_income,0.0,0.0013359374260153275
F14_ext_source_2,0.5664501911505412,0.1900946976051983
F15_ext_source_3,0.5352762504724826,0.17380217840428236
F16_days_birth,-15761.0,4371.235888703607
F17_days_employed,-1659.0,2043.3273828991555
F18_phone_change,-762.0,817.7985326312462
